"RecordCategory","RecordSubCategory","StartDate","FinishDate","Details"
"Досуг","Игры","17-мар.-2022 04:17","17-мар.-2022 04:17",""
"Досуг","Игры","17-мар.-2022 02:11","17-мар.-2022 02:12","00:50"
"Подгузники","Грязный","16-мар.-2022 18:48","16-мар.-2022 18:48",""
"Сон","","16-мар.-2022 17:03","16-мар.-2022 17:41",""
"Кормление","Правая Грудь","16-мар.-2022 14:51","16-мар.-2022 14:52",""
"Кормление","Левая Грудь","16-мар.-2022 14:51","16-мар.-2022 14:51",""
"Досуг","Игры","16-мар.-2022 13:55","16-мар.-2022 14:14",""
"Сон","","16-мар.-2022 13:14","16-мар.-2022 14:43",""
"Досуг","Игры","16-мар.-2022 13:08","16-мар.-2022 13:13",""
"Кормление","Еда","16-мар.-2022 12:46","16-мар.-2022 12:46","артек каша - аллергия"
"Кормление","Левая Грудь","16-мар.-2022 11:07","16-мар.-2022 11:07",""
"Досуг","Игры","16-мар.-2022 09:59","16-мар.-2022 10:37",""
"Досуг","Игры","16-мар.-2022 09:59","16-мар.-2022 09:59","33 мин"
"Сон","","16-мар.-2022 09:23","16-мар.-2022 10:48",""
"Кормление","Еда","16-мар.-2022 09:13","16-мар.-2022 09:13","картошка пюре, Яблочное пюре, индейка"
"Досуг","Купание","16-мар.-2022 08:50","16-мар.-2022 08:55",""
"Кормление","Правая Грудь","16-мар.-2022 07:49","16-мар.-2022 07:49",""
"Сон","","16-мар.-2022 06:42","16-мар.-2022 07:14",""
"Подгузники","Мокрый","16-мар.-2022 06:36","16-мар.-2022 06:36",""
"Досуг","Игры","16-мар.-2022 06:36","16-мар.-2022 07:14",""
"Досуг","Игры","15-мар.-2022 19:18","15-мар.-2022 19:49",""
"Сон","","15-мар.-2022 18:13","16-мар.-2022 04:13",""
"Кормление","Еда","15-мар.-2022 16:27","15-мар.-2022 16:27",""
"Кормление","Правая Грудь","15-мар.-2022 15:42","15-мар.-2022 15:42",""
"Кормление","Левая Грудь","15-мар.-2022 15:42","15-мар.-2022 15:42",""
"Досуг","Игры","15-мар.-2022 15:10","15-мар.-2022 15:27",""
"Сон","","15-мар.-2022 14:27","15-мар.-2022 15:33",""
"Досуг","Игры","15-мар.-2022 14:23","15-мар.-2022 14:27",""
"Досуг","Игры","15-мар.-2022 13:44","15-мар.-2022 13:44","капризы"
"Кормление","Правая Грудь","15-мар.-2022 12:36","15-мар.-2022 12:36",""
"Кормление","Левая Грудь","15-мар.-2022 12:36","15-мар.-2022 12:36",""
"Досуг","Игры","15-мар.-2022 11:46","15-мар.-2022 12:04",""
"Сон","","15-мар.-2022 11:04","15-мар.-2022 12:04","уснул в кроватке"
"Досуг","Игры","15-мар.-2022 10:53","15-мар.-2022 11:00",""
"Кормление","Еда","15-мар.-2022 10:42","15-мар.-2022 10:42","цв капуста, мясо, фасоль зелёная, каша ячневая"
"Досуг","Игры","15-мар.-2022 09:58","15-мар.-2022 09:58","капризы"
"Кормление","Правая Грудь","15-мар.-2022 09:22","15-мар.-2022 09:22",""
"Кормление","Левая Грудь","15-мар.-2022 09:22","15-мар.-2022 09:22",""
"Досуг","Купание","15-мар.-2022 09:04","15-мар.-2022 09:17",""
"Сон","","15-мар.-2022 07:36","15-мар.-2022 09:03",""
"Досуг","Игры","15-мар.-2022 07:24","15-мар.-2022 07:25","замер, пу есть"
"Кормление","Правая Грудь","15-мар.-2022 06:42","15-мар.-2022 06:42",""
"Кормление","Левая Грудь","15-мар.-2022 06:42","15-мар.-2022 06:42",""
"Кормление","Левая Грудь","15-мар.-2022 05:57","15-мар.-2022 05:57",""
"Кормление","Правая Грудь","15-мар.-2022 05:35","15-мар.-2022 05:52",""
